,Global Epoch,Global Train accuracy,Global Test accuracy,Global Train loss,Global similarity
0,0,0.10501360435339309,0.1058,2.418016426389257,0.0
1,1,0.27886923815621,0.2896,1.908013425471688,0.2896
2,2,0.3727392765685019,0.3914,1.657805816006874,0.3914
3,3,0.4250560179257362,0.4595,1.5469469021285542,0.4595
4,4,0.48187419974391804,0.5178,1.4182533959878392,0.5178
5,5,0.5128441101152369,0.5422,1.3643614478056318,0.5422
6,6,0.5212868117797695,0.5523,1.3405101928149235,0.5523
7,7,0.5465949103713188,0.5692,1.2595969930806326,0.5692
8,8,0.5553577144686299,0.5842,1.2382374376096739,0.5842
9,9,0.5755841869398207,0.6006,1.1922298100480044,0.6006
10,10,0.5793053777208707,0.6009,1.1821686289679836,0.6009
11,11,0.5763444302176697,0.5991,1.1838859683725502,0.5991
12,12,0.5928297055057619,0.614,1.1476568861288543,0.614
13,13,0.5975112035851472,0.6166,1.1355577830926404,0.6166
14,14,0.5870478553137004,0.6058,1.1515384212651418,0.6058
15,15,0.602172695262484,0.6146,1.1145036486901638,0.6146
16,16,0.597931338028169,0.6143,1.1378269009339825,0.6143
17,17,0.6121758962868118,0.6257,1.0823892759452556,0.6257
18,18,0.6234795134443022,0.6312,1.0631252424970326,0.6312
19,19,0.6243998079385403,0.6337,1.0623735767931088,0.6337
20,20,0.6206586107554417,0.6339,1.074343656150388,0.6339
21,21,0.6222391165172856,0.6298,1.0698139105807805,0.6298
22,22,0.6246999039692702,0.6359,1.064992991971298,0.6359
23,23,0.6271006722151088,0.6396,1.0570643693017898,0.6396
24,24,0.6314620678617158,0.6369,1.03509999359463,0.6369
25,25,0.6386443661971831,0.6472,1.0245921419463604,0.6472
26,26,0.6377440781049936,0.6472,1.0311369534949182,0.6472
27,27,0.6310819462227913,0.6381,1.0426433308481713,0.6381
28,28,0.6401248399487837,0.6486,1.0182742047554094,0.6486
29,29,0.6364836747759283,0.6441,1.038279508124851,0.6441
30,30,0.6479073303457106,0.6537,0.9963358314791348,0.6537
31,31,0.6411051536491678,0.6513,1.0145329204930538,0.6513
32,32,0.6357034250960307,0.648,1.0312004644189998,0.648
33,33,0.6475872279129321,0.6533,1.0060293931661892,0.6533
34,34,0.6357234314980794,0.6457,1.031386997269302,0.6457
35,35,0.645506562099872,0.6522,1.0050344707565944,0.6522
36,36,0.6505481754161332,0.6581,0.9960547070497129,0.6581
37,37,0.6475672215108835,0.6492,1.0085461189285894,0.6492
38,38,0.6502280729833547,0.6594,0.9887287722049083,0.6594
39,39,0.6487075864276568,0.653,0.9987236266710083,0.653
40,40,0.6403649167733675,0.646,1.0160942130296393,0.646
41,41,0.6472271126760564,0.6532,1.0065680719368284,0.6532
42,42,0.6519286171574904,0.6558,0.986534941974889,0.6558
43,43,0.6545894686299616,0.6592,0.980596740557198,0.6592
44,44,0.6579705505761844,0.6634,0.9737815795115716,0.6634
45,45,0.6443461907810499,0.6578,1.0072443542498786,0.6578
46,46,0.6456065941101152,0.6557,1.0073823809776354,0.6557
47,47,0.6528689180537772,0.6611,0.9858986056110465,0.6611
48,48,0.6605113636363636,0.6674,0.9625258383158685,0.6674
49,49,0.6553897247119078,0.6608,0.9866913720373918,0.6608
50,50,0.6600912291933418,0.6642,0.9635486166242143,0.6642
51,51,0.6582306338028169,0.6619,0.9738028369242953,0.6619
52,52,0.6566101152368758,0.6607,0.977328656882849,0.6607
53,53,0.6509082906530089,0.6598,0.992737553412722,0.6598
54,54,0.6615116837387964,0.6628,0.973131860035177,0.6628
55,55,0.6593709987195903,0.6608,0.9623139717362144,0.6608
56,56,0.661191581306018,0.6585,0.9627429783420587,0.6585
57,57,0.6481674135723432,0.6507,0.9909170949962777,0.6507
58,58,0.6583306658130602,0.6603,0.9686125416151234,0.6603
59,59,0.6589708706786171,0.6594,0.9639203130969928,0.6594
60,60,0.6643125800256082,0.664,0.9610094434167908,0.664
61,61,0.6554097311139565,0.6603,0.972451696856837,0.6603
62,62,0.6642325544174136,0.665,0.9534699532958213,0.665
63,63,0.6560699423815621,0.6607,0.9814654606252565,0.6607
64,64,0.6613716389244558,0.6651,0.9607116603668154,0.6651
65,65,0.6597911331626121,0.659,0.9662051912917065,0.659
66,66,0.6589508642765685,0.6591,0.972846834745053,0.6591
67,67,0.661471670934699,0.6599,0.958650152142924,0.6599
68,68,0.6618317861715749,0.6612,0.9563270463833583,0.6612
69,69,0.6557698463508322,0.656,0.9771875283476943,0.656
70,70,0.6583906850192062,0.6581,0.9681276656906675,0.6581
71,71,0.6590508962868118,0.6545,0.9644606534711225,0.6545
72,72,0.6684539052496798,0.6628,0.9427679779434937,0.6628
73,73,0.6601712548015365,0.66,0.9605279953317972,0.66
74,74,0.660491357234315,0.6595,0.9616469144821167,0.6595
75,75,0.6560499359795134,0.6524,0.974669228976881,0.6524
76,76,0.6654129321382842,0.6646,0.940098213783147,0.6646
77,77,0.6702544814340589,0.6692,0.9353208473183586,0.6692
78,78,0.662932138284251,0.6594,0.958275682108045,0.6594
79,79,0.6669134122919335,0.665,0.9470167392042016,0.665
80,80,0.664612676056338,0.6605,0.9510121238674305,0.6605
81,81,0.6577504801536491,0.6542,0.9658652531810668,0.6542
82,82,0.661131562099872,0.6593,0.9588770783970206,0.6593
83,83,0.6719550256081946,0.6643,0.9336923370745973,0.6643
84,84,0.6703345070422535,0.6596,0.9364037807558624,0.6596
85,85,0.6652128681177977,0.6571,0.9523833096408966,0.6571
86,86,0.6681538092189501,0.6621,0.9441959403083205,0.6621
87,87,0.6639324583866837,0.6584,0.9507895742427371,0.6584
88,88,0.660431338028169,0.6554,0.9652274740948109,0.6554
89,89,0.6550696222791293,0.6512,0.9752223490905517,0.6512
90,90,0.6630921895006402,0.6552,0.9542255879364306,0.6552
91,91,0.6591309218950064,0.6577,0.9547251797974033,0.6577
92,92,0.6674735915492958,0.6599,0.9494721549115932,0.6599
93,93,0.6649127720870679,0.6575,0.9508087186288284,0.6575
94,94,0.6676736555697823,0.6588,0.9453779388786736,0.6588
95,95,0.6619918373879642,0.6597,0.9591713703396073,0.6597
96,96,0.6660331306017926,0.6567,0.9535741681631335,0.6567
97,97,0.6615516965428937,0.6543,0.9522499391730402,0.6543
98,98,0.6632522407170295,0.6573,0.9495759120976573,0.6573
99,99,0.669554257362356,0.6592,0.936780854391838,0.6592
